ta,ea,ma,ea2,ta2
-6.28319,-0.00000,-0.00000,-0.00000,-0.00000
-6.27690,0.00210,0.00042,0.00210,0.00629
-6.27061,0.00419,0.00084,0.00419,0.01257
-6.26433,0.00629,0.00126,0.00629,0.01886
-6.25804,0.00838,0.00168,0.00838,0.02515
-6.25175,0.01048,0.00210,0.01048,0.03143
-6.24547,0.01257,0.00252,0.01258,0.03772
-6.23918,0.01467,0.00293,0.01467,0.04401
-6.23289,0.01677,0.00335,0.01677,0.05030
-6.22661,0.01886,0.00377,0.01887,0.05659
-6.22032,0.02096,0.00419,0.02096,0.06286
-6.21404,0.02306,0.00461,0.02306,0.06915
-6.20775,0.02516,0.00503,0.02516,0.07544
-6.20146,0.02725,0.00545,0.02725,0.08172
-6.19518,0.02935,0.00587,0.02935,0.08801
-6.18889,0.03145,0.00629,0.03145,0.09429
-6.18260,0.03355,0.00672,0.03355,0.10058
-6.17632,0.03565,0.00714,0.03565,0.10687
-6.17003,0.03775,0.00756,0.03775,0.11315
-6.16375,0.03986,0.00798,0.03986,0.11944
-6.15746,0.04196,0.00840,0.04196,0.12573
-6.15117,0.04406,0.00882,0.04406,0.13201
-6.14489,0.04617,0.00925,0.04617,0.13830
-6.13860,0.04827,0.00967,0.04827,0.14459
-6.13231,0.05038,0.01009,0.05038,0.15087
-6.12603,0.05248,0.01052,0.05248,0.15716
-6.11974,0.05459,0.01094,0.05459,0.16344
-6.11345,0.05670,0.01136,0.05670,0.16973
-6.10717,0.05881,0.01179,0.05881,0.17602
-6.10088,0.06092,0.01221,0.06092,0.18230
-6.09460,0.06303,0.01264,0.06303,0.18859
-6.08831,0.06514,0.01307,0.06514,0.19488
-6.08202,0.06726,0.01349,0.06726,0.20116
-6.07574,0.06937,0.01392,0.06937,0.20745
-6.06945,0.07149,0.01435,0.07149,0.21373
-6.06316,0.07360,0.01477,0.07360,0.22002
-6.05688,0.07572,0.01520,0.07572,0.22631
-6.05059,0.07784,0.01563,0.07784,0.23259
-6.04430,0.07996,0.01606,0.07997,0.23888
-6.03802,0.08209,0.01649,0.08209,0.24517
-6.03173,0.08421,0.01692,0.08421,0.25145
-6.02545,0.08634,0.01735,0.08634,0.25774
-6.01916,0.08847,0.01779,0.08847,0.26403
-6.01287,0.09059,0.01822,0.09059,0.27031
-6.00659,0.09273,0.01865,0.09273,0.27660
-6.00030,0.09486,0.01909,0.09486,0.28288
-5.99401,0.09699,0.01952,0.09699,0.28917
-5.98773,0.09913,0.01996,0.09913,0.29546
-5.98144,0.10126,0.02039,0.10126,0.30174
-5.97516,0.10340,0.02083,0.10340,0.30803
-5.96887,0.10555,0.02127,0.10555,0.31432
-5.96258,0.10769,0.02170,0.10769,0.32060
-5.95630,0.10983,0.02214,0.10983,0.32689
-5.95001,0.11198,0.02258,0.11198,0.33318
-5.94372,0.11413,0.02302,0.11413,0.33946
-5.93744,0.11628,0.02347,0.11628,0.34575
-5.93115,0.11843,0.02391,0.11843,0.35204
-5.92486,0.12059,0.02435,0.12059,0.35832
-5.91858,0.12275,0.02480,0.12275,0.36461
-5.91229,0.12491,0.02524,0.12491,0.37089
-5.90601,0.12707,0.02569,0.12707,0.37718
-5.89972,0.12923,0.02613,0.12923,0.38347
-5.89343,0.13140,0.02658,0.13140,0.38975
-5.88715,0.13357,0.02703,0.13357,0.39604
-5.88086,0.13574,0.02748,0.13574,0.40233
-5.87457,0.13791,0.02793,0.13791,0.40861
-5.86829,0.14009,0.02838,0.14009,0.41490
-5.86200,0.14227,0.02884,0.14227,0.42119
-5.85572,0.14445,0.02929,0.14445,0.42747
-5.84943,0.14663,0.02975,0.14663,0.43376
-5.84314,0.14882,0.03020,0.14882,0.44005
-5.83686,0.15101,0.03066,0.15101,0.44633
-5.83057,0.15320,0.03112,0.15320,0.45262
-5.82428,0.15540,0.03158,0.15540,0.45891
-5.81800,0.15759,0.03204,0.15760,0.46519
-5.81171,0.15979,0.03250,0.15980,0.47148
-5.80542,0.16200,0.03297,0.16200,0.47777
-5.79914,0.16421,0.03343,0.16421,0.48405
-5.79285,0.16641,0.03390,0.16642,0.49034
-5.78657,0.16863,0.03436,0.16863,0.49663
-5.78028,0.17084,0.03483,0.17085,0.50291
-5.77399,0.17306,0.03530,0.17307,0.50920
-5.76771,0.17528,0.03577,0.17529,0.51549
-5.76142,0.17751,0.03625,0.17751,0.52178
-5.75513,0.17974,0.03672,0.17974,0.52806
-5.74885,0.18197,0.03720,0.18198,0.53435
-5.74256,0.18421,0.03767,0.18421,0.54062
-5.73627,0.18645,0.03815,0.18645,0.54691
