chi_0,chi
-1.00000,-5378.97266
-0.99980,-5378.90332
-0.99960,-5378.83594
-0.99940,-5378.76758
-0.99920,-5378.70020
-0.99900,-5378.63281
-0.99880,-5378.56348
-0.99860,-5378.49609
-0.99840,-5378.42969
-0.99820,-5378.35938
-0.99800,-5378.29297
-0.99780,-5378.22266
-0.99760,-5378.15527
-0.99740,-5378.08789
-0.99720,-5378.01953
-0.99700,-5377.95117
-0.99680,-5377.88281
-0.99660,-5377.81445
-0.99640,-5377.74609
-0.99620,-5377.67773
-0.99600,-5377.60840
-0.99580,-5377.54004
-0.99560,-5377.47168
-0.99540,-5377.40430
-0.99520,-5377.33496
-0.99500,-5377.26660
-0.99480,-5377.19629
-0.99460,-5377.12891
-0.99440,-5377.06055
-0.99420,-5376.99023
-0.99400,-5376.92383
-0.99380,-5376.85254
-0.99360,-5376.78418
-0.99340,-5376.71484
-0.99320,-5376.64648
-0.99300,-5376.57910
-0.99280,-5376.50879
-0.99260,-5376.43848
-0.99240,-5376.37012
-0.99220,-5376.30176
-0.99200,-5376.23145
-0.99180,-5376.16309
-0.99160,-5376.09375
-0.99140,-5376.02441
-0.99120,-5375.95508
-0.99100,-5375.88574
-0.99080,-5375.81641
-0.99060,-5375.74707
-0.99040,-5375.67969
-0.99020,-5375.60742
-0.99000,-5375.53613
-0.98980,-5375.46875
-0.98960,-5375.39941
-0.98940,-5375.33008
-0.98920,-5375.25977
-0.98900,-5375.19043
-0.98880,-5375.12012
-0.98860,-5375.05078
-0.98840,-5374.98145
-0.98820,-5374.91113
-0.98800,-5374.84277
-0.98780,-5374.77148
-0.98760,-5374.70215
-0.98740,-5374.63184
-0.98720,-5374.56152
-0.98700,-5374.49023
-0.98680,-5374.42090
-0.98660,-5374.35156
-0.98640,-5374.28125
-0.98620,-5374.21191
-0.98600,-5374.14160
-0.98580,-5374.06934
-0.98560,-5374.00000
-0.98540,-5373.92969
-0.98520,-5373.85938
-0.98500,-5373.78809
-0.98480,-5373.71875
-0.98460,-5373.64844
-0.98440,-5373.57910
-0.98420,-5373.50684
-0.98400,-5373.43652
-0.98380,-5373.36523
-0.98360,-5373.29492
-0.98340,-5373.22363
-0.98320,-5373.15332
-0.98300,-5373.08301
-0.98280,-5373.01270
-0.98260,-5372.94043
-0.98240,-5372.87012
-0.98220,-5372.79883
-0.98200,-5372.72852
-0.98180,-5372.65820
-0.98160,-5372.58594
-0.98140,-5372.51562
-0.98120,-5372.44434
-0.98100,-5372.37207
-0.98080,-5372.30273
-0.98060,-5372.23145
-0.98040,-5372.15918
-0.98020,-5372.08691
-0.98000,-5372.01562
-0.97980,-5371.94531
-0.97960,-5371.87402
-0.97940,-5371.80273
-0.97920,-5371.73145
-0.97900,-5371.66016
-0.97880,-5371.58691
-0.97860,-5371.51562
-0.97840,-5371.44531
-0.97820,-5371.37402
-0.97800,-5371.30176
-0.97780,-5371.22949
-0.97760,-5371.15723
-0.97740,-5371.08691
-0.97720,-5371.01562
-0.97700,-5370.94238
-0.97680,-5370.87012
-0.97660,-5370.79785
-0.97640,-5370.72754
-0.97620,-5370.65430
-0.97600,-5370.58301
-0.97580,-5370.50977
-0.97560,-5370.43750
-0.97540,-5370.36621
-0.97520,-5370.29492
-0.97500,-5370.22266
-0.97480,-5370.14941
-0.97460,-5370.07715
-0.97440,-5370.00488
-0.97420,-5369.93262
-0.97400,-5369.85938
-0.97380,-5369.78809
-0.97360,-5369.71484
-0.97340,-5369.64453
-0.97320,-5369.57031
-0.97300,-5369.49805
-0.97280,-5369.42285
-0.97260,-5369.35254
-0.97240,-5369.27832
-0.97220,-5369.20703
-0.97200,-5369.13379
-0.97180,-5369.06152
-0.97160,-5368.98730
-0.97140,-5368.91504
-0.97120,-5368.84180
-0.97100,-5368.76953
-0.97080,-5368.69531
-0.97060,-5368.62305
-0.97040,-5368.54980
-0.97020,-5368.47656
-0.97000,-5368.40430
-0.96980,-5368.33008
-0.96960,-5368.25684
-0.96940,-5368.18359
-0.96920,-5368.11133
-0.96900,-5368.03613
-0.96880,-5367.96387
-0.96860,-5367.88965
-0.96840,-5367.81641
-0.96820,-5367.74316
-0.96800,-5367.66895
-0.96780,-5367.59570
-0.96760,-5367.52148
-0.96740,-5367.44922
-0.96720,-5367.37598
-0.96700,-5367.30273
-0.96680,-5367.22754
-0.96660,-5367.15332
-0.96640,-5367.08008
-0.96620,-5367.00684
-0.96600,-5366.93262
-0.96580,-5366.85938
-0.96560,-5366.78418
-0.96540,-5366.70996
-0.96520,-5366.63672
-0.96500,-5366.56250
-0.96480,-5366.48730
-0.96460,-5366.41309
-0.96440,-5366.33887
-0.96420,-5366.26562
-0.96400,-5366.19043
-0.96380,-5366.11621
-0.96360,-5366.04297
-0.96340,-5365.96680
-0.96320,-5365.89258
-0.96300,-5365.81836
-0.96280,-5365.74316
-0.96260,-5365.66992
-0.96240,-5365.59375
-0.96220,-5365.51855
-0.96200,-5365.44531
-0.96180,-5365.37207
-0.96160,-5365.29590
-0.96140,-5365.22070
-0.96120,-5365.14648
-0.96100,-5365.07129
-0.96080,-5364.99707
-0.96060,-5364.92188
-0.96040,-5364.84668
-0.96020,-5364.77148
-0.96000,-5364.69727
-0.95980,-5364.62109
-0.95960,-5364.54590
-0.95940,-5364.47070
-0.95920,-5364.39551
-0.95900,-5364.32129
-0.95880,-5364.24512
-0.95860,-5364.16992
-0.95840,-5364.09473
-0.95820,-5364.01953
-0.95800,-5363.94336
-0.95780,-5363.86719
-0.95760,-5363.79199
-0.95740,-5363.71680
-0.95720,-5363.63965
-0.95700,-5363.56543
-0.95680,-5363.48926
-0.95660,-5363.41504
-0.95640,-5363.33789
-0.95620,-5363.26172
-0.95600,-5363.18750
-0.95580,-5363.11035
-0.95560,-5363.03418
-0.95540,-5362.95996
-0.95520,-5362.88281
-0.95500,-5362.80566
-0.95480,-5362.73145
-0.95460,-5362.65527
-0.95440,-5362.57812
-0.95420,-5362.50293
-0.95400,-5362.42578
-0.95380,-5362.34961
-0.95360,-5362.27344
-0.95340,-5362.19629
-0.95320,-5362.12109
-0.95300,-5362.04395
-0.95280,-5361.96777
-0.95260,-5361.89062
-0.95240,-5361.81445
-0.95220,-5361.73828
-0.95200,-5361.66016
-0.95180,-5361.58594
-0.95160,-5361.50684
-0.95140,-5361.43164
-0.95120,-5361.35449
-0.95100,-5361.27734
-0.95080,-5361.20020
-0.95060,-5361.12305
-0.95040,-5361.04785
-0.95020,-5360.96973
-0.94999,-5360.89355
-0.94980,-5360.81641
-0.94959,-5360.73828
-0.94939,-5360.66211
-0.94919,-5360.58301
-0.94899,-5360.50684
-0.94879,-5360.42969
-0.94859,-5360.35254
-0.94839,-5360.27539
-0.94819,-5360.19727
-0.94799,-5360.12012
-0.94779,-5360.04297
-0.94759,-5359.96484
-0.94739,-5359.88867
-0.94719,-5359.81055
-0.94699,-5359.73340
-0.94679,-5359.65430
-0.94659,-5359.57617
-0.94639,-5359.50000
-0.94619,-5359.42188
-0.94599,-5359.34375
-0.94579,-5359.26660
-0.94559,-5359.18750
-0.94539,-5359.11035
-0.94519,-5359.03320
-0.94499,-5358.95410
-0.94479,-5358.87598
-0.94459,-5358.79785
-0.94439,-5358.71875
-0.94419,-5358.64160
-0.94399,-5358.56250
-0.94379,-5358.48535
-0.94359,-5358.40723
-0.94339,-5358.32812
-0.94319,-5358.25098
-0.94299,-5358.17188
-0.94279,-5358.09375
-0.94259,-5358.01562
-0.94239,-5357.93652
-0.94219,-5357.85840
-0.94199,-5357.77832
-0.94179,-5357.70020
-0.94159,-5357.62207
-0.94139,-5357.54297
-0.94119,-5357.46484
-0.94099,-5357.38574
-0.94079,-5357.30664
-0.94059,-5357.22852
-0.94039,-5357.14746
-0.94019,-5357.06836
-0.93999,-5356.99023
-0.93979,-5356.91113
-0.93959,-5356.83203
-0.93939,-5356.75293
-0.93919,-5356.67383
-0.93899,-5356.59473
-0.93879,-5356.51465
-0.93859,-5356.43555
-0.93839,-5356.35742
-0.93819,-5356.27734
-0.93799,-5356.19824
-0.93779,-5356.11816
-0.93759,-5356.03906
-0.93739,-5355.95898
-0.93719,-5355.87891
-0.93699,-5355.80078
-0.93679,-5355.72070
-0.93659,-5355.64062
-0.93639,-5355.56152
-0.93619,-5355.48047
-0.93599,-5355.40234
-0.93579,-5355.32129
-0.93559,-5355.24121
-0.93539,-5355.16211
-0.93519,-5355.08008
-0.93499,-5355.00195
-0.93479,-5354.92188
-0.93459,-5354.84180
-0.93439,-5354.76074
-0.93419,-5354.68066
-0.93399,-5354.60156
-0.93379,-5354.52051
-0.93359,-5354.44043
-0.93339,-5354.36035
-0.93319,-5354.27832
-0.93299,-5354.19824
-0.93279,-5354.11816
-0.93259,-5354.03809
-0.93239,-5353.95703
-0.93219,-5353.87695
-0.93199,-5353.79590
-0.93179,-5353.71484
-0.93159,-5353.63477
-0.93139,-5353.55371
-0.93119,-5353.47168
-0.93099,-5353.39258
-0.93079,-5353.31152
-0.93059,-5353.22998
-0.93039,-5353.14844
-0.93019,-5353.06738
-0.92999,-5352.98682
-0.92979,-5352.90527
-0.92959,-5352.82373
-0.92939,-5352.74316
-0.92919,-5352.66162
-0.92899,-5352.58008
-0.92879,-5352.50000
-0.92859,-5352.41846
-0.92839,-5352.33691
-0.92819,-5352.25439
-0.92799,-5352.17383
-0.92779,-5352.09277
-0.92759,-5352.01025
-0.92739,-5351.92969
-0.92719,-5351.84766
-0.92699,-5351.76562
-0.92679,-5351.68359
-0.92659,-5351.60254
-0.92639,-5351.52051
-0.92619,-5351.43848
-0.92599,-5351.35547
-0.92579,-5351.27441
-0.92559,-5351.19238
-0.92539,-5351.10938
-0.92519,-5351.02832
-0.92499,-5350.94629
-0.92479,-5350.86475
-0.92459,-5350.78125
-0.92439,-5350.69922
-0.92419,-5350.61719
-0.92399,-5350.53516
-0.92379,-5350.45312
-0.92359,-5350.37012
-0.92339,-5350.28809
-0.92319,-5350.20410
-0.92299,-5350.12207
-0.92279,-5350.03955
-0.92259,-5349.95752
-0.92239,-5349.87451
-0.92219,-5349.79297
-0.92199,-5349.70996
-0.92179,-5349.62598
-0.92159,-5349.54346
-0.92139,-5349.46045
-0.92119,-5349.37793
-0.92099,-5349.29395
-0.92079,-5349.21191
-0.92059,-5349.12939
-0.92039,-5349.04590
-0.92019,-5348.96191
-0.91999,-5348.87891
-0.91979,-5348.79590
-0.91959,-5348.71289
-0.91939,-5348.62842
-0.91919,-5348.54688
-0.91899,-5348.46191
-0.91879,-5348.37793
-0.91859,-5348.29492
-0.91839,-5348.21240
-0.91819,-5348.12793
-0.91799,-5348.04590
-0.91779,-5347.95996
-0.91759,-5347.87793
-0.91739,-5347.79346
-0.91719,-5347.70898
-0.91699,-5347.62598
-0.91679,-5347.54102
-0.91659,-5347.45850
-0.91639,-5347.37354
-0.91619,-5347.29004
-0.91599,-5347.20605
-0.91579,-5347.12207
-0.91559,-5347.03809
-0.91539,-5346.95410
-0.91519,-5346.86963
-0.91499,-5346.78516
-0.91479,-5346.70117
-0.91459,-5346.61670
-0.91439,-5346.53174
-0.91419,-5346.44824
-0.91399,-5346.36426
-0.91379,-5346.27832
-0.91359,-5346.19434
-0.91339,-5346.11035
-0.91319,-5346.02539
-0.91299,-5345.94141
-0.91279,-5345.85547
-0.91259,-5345.77051
-0.91239,-5345.68652
-0.91219,-5345.60205
-0.91199,-5345.51660
-0.91179,-5345.43018
-0.91159,-5345.34570
-0.91139,-5345.26172
-0.91119,-5345.17627
-0.91099,-5345.09082
-0.91079,-5345.00635
-0.91059,-5344.92090
-0.91039,-5344.83545
-0.91019,-5344.75000
-0.90999,-5344.66455
-0.90979,-5344.57959
-0.90959,-5344.49512
-0.90939,-5344.40820
-0.90919,-5344.32275
-0.90899,-5344.23730
-0.90879,-5344.15186
-0.90859,-5344.06641
-0.90839,-5343.98096
-0.90819,-5343.89355
-0.90799,-5343.80859
-0.90779,-5343.72412
-0.90759,-5343.63770
-0.90739,-5343.55127
-0.90719,-5343.46484
-0.90699,-5343.37891
-0.90679,-5343.29199
-0.90659,-5343.20703
-0.90639,-5343.12207
-0.90619,-5343.03418
-0.90599,-5342.94775
-0.90579,-5342.86133
-0.90559,-5342.77539
-0.90539,-5342.68848
-0.90519,-5342.60352
-0.90499,-5342.51660
-0.90479,-5342.43066
-0.90459,-5342.34375
-0.90439,-5342.25684
-0.90419,-5342.16895
-0.90399,-5342.08398
-0.90379,-5341.99609
-0.90359,-5341.91064
-0.90339,-5341.82422
-0.90319,-5341.73633
-0.90299,-5341.65039
-0.90279,-5341.56250
-0.90259,-5341.47510
-0.90239,-5341.38867
-0.90219,-5341.30078
-0.90199,-5341.21484
-0.90179,-5341.12744
-0.90159,-5341.03955
-0.90139,-5340.95312
-0.90119,-5340.86426
-0.90099,-5340.77832
-0.90079,-5340.68994
-0.90059,-5340.60303
-0.90039,-5340.51562
-0.90019,-5340.42773
-0.89999,-5340.33984
-0.89979,-5340.25342
-0.89959,-5340.16602
-0.89939,-5340.07812
-0.89919,-5339.99023
-0.89899,-5339.90137
-0.89879,-5339.81543
-0.89859,-5339.72607
-0.89839,-5339.63770
-0.89819,-5339.54980
-0.89799,-5339.46289
-0.89779,-5339.37402
-0.89759,-5339.28662
-0.89739,-5339.19775
-0.89719,-5339.11035
-0.89699,-5339.02246
-0.89679,-5338.93262
-0.89659,-5338.84473
-0.89639,-5338.75684
-0.89619,-5338.66797
-0.89599,-5338.58008
-0.89579,-5338.49121
-0.89559,-5338.40283
-0.89539,-5338.31494
-0.89519,-5338.22656
-0.89499,-5338.13770
-0.89479,-5338.04834
-0.89459,-5337.95947
-0.89439,-5337.87109
-0.89419,-5337.78027
-0.89399,-5337.69238
-0.89379,-5337.60352
-0.89359,-5337.51416
-0.89339,-5337.42529
-0.89319,-5337.33691
-0.89299,-5337.24805
-0.89279,-5337.15820
-0.89259,-5337.06836
-0.89239,-5336.97949
-0.89219,-5336.89062
-0.89199,-5336.80127
-0.89179,-5336.71191
-0.89159,-5336.62256
-0.89139,-5336.53320
-0.89119,-5336.44238
-0.89099,-5336.35352
-0.89079,-5336.26367
-0.89059,-5336.17334
-0.89039,-5336.08398
-0.89019,-5335.99414
-0.88999,-5335.90430
-0.88979,-5335.81543
-0.88959,-5335.72461
-0.88939,-5335.63428
-0.88919,-5335.54492
-0.88899,-5335.45459
-0.88879,-5335.36426
-0.88859,-5335.27441
-0.88839,-5335.18457
-0.88819,-5335.09326
-0.88799,-5335.00391
-0.88779,-5334.91309
-0.88759,-5334.82275
-0.88739,-5334.73242
-0.88719,-5334.64258
-0.88699,-5334.55176
-0.88679,-5334.45996
-0.88659,-5334.37012
-0.88639,-5334.27930
-0.88619,-5334.18848
-0.88599,-5334.09961
-0.88579,-5334.00781
-0.88559,-5333.91650
-0.88539,-5333.82520
-0.88519,-5333.73389
-0.88499,-5333.64355
-0.88479,-5333.55078
-0.88459,-5333.46191
-0.88439,-5333.36914
-0.88419,-5333.27832
-0.88399,-5333.18848
-0.88379,-5333.09570
-0.88359,-5333.00488
-0.88339,-5332.91406
-0.88319,-5332.82178
-0.88299,-5332.73047
-0.88279,-5332.63916
-0.88259,-5332.54785
-0.88239,-5332.45605
-0.88219,-5332.36426
-0.88199,-5332.27246
-0.88179,-5332.18066
-0.88159,-5332.08887
-0.88139,-5331.99707
-0.88119,-5331.90527
-0.88099,-5331.81250
-0.88079,-5331.72168
-0.88059,-5331.62891
-0.88039,-5331.53662
-0.88019,-5331.44580
-0.87999,-5331.35303
-0.87979,-5331.26074
-0.87959,-5331.16797
-0.87939,-5331.07666
-0.87919,-5330.98340
-0.87899,-5330.89014
-0.87879,-5330.79932
-0.87859,-5330.70703
-0.87839,-5330.61377
-0.87819,-5330.52051
-0.87799,-5330.42920
-0.87779,-5330.33545
-0.87759,-5330.24316
-0.87739,-5330.15039
