t,x,y
10.00000,-64.17818,1.45708
9.99800,-63.91916,1.47690
9.99600,-63.65924,1.49672
9.99400,-63.39888,1.51650
9.99200,-63.13753,1.53630
9.99000,-62.87546,1.55609
9.98800,-62.61263,1.57588
9.98600,-62.34880,1.59568
9.98400,-62.08434,1.61546
9.98200,-61.81913,1.63524
9.98000,-61.55305,1.65502
9.97800,-61.28640,1.67477
9.97600,-61.01865,1.69455
9.97400,-60.75063,1.71428
9.97200,-60.48154,1.73403
9.97000,-60.21223,1.75373
9.96800,-59.94158,1.77347
9.96600,-59.67045,1.79318
9.96400,-59.39822,1.81293
9.96200,-59.12566,1.83262
9.96000,-58.85191,1.85234
9.95800,-58.57749,1.87205
9.95600,-58.30264,1.89173
9.95400,-58.02674,1.91142
9.95199,-57.75032,1.93110
9.95000,-57.47314,1.95076
9.94800,-57.19504,1.97043
9.94599,-56.91614,1.99010
9.94399,-56.63662,2.00975
9.94199,-56.35648,2.02939
9.93999,-56.07524,2.04905
9.93799,-55.79357,2.06867
9.93599,-55.51095,2.08830
9.93399,-55.22766,2.10793
9.93199,-54.94347,2.12755
9.92999,-54.65875,2.14715
9.92799,-54.37341,2.16673
9.92599,-54.08749,2.18630
9.92399,-53.80030,2.20590
9.92199,-53.51252,2.22548
9.91999,-53.22414,2.24504
9.91799,-52.93479,2.26461
9.91599,-52.64511,2.28415
9.91399,-52.35434,2.30370
9.91199,-52.06289,2.32325
9.90999,-51.77093,2.34276
9.90799,-51.47815,2.36227
9.90599,-51.18465,2.38177
9.90399,-50.89030,2.40129
9.90199,-50.59510,2.42080
9.89999,-50.29955,2.44026
9.89799,-50.00296,2.45975
9.89599,-49.70584,2.47922
9.89399,-49.40786,2.49868
9.89199,-49.10922,2.51814
9.88999,-48.80981,2.53758
9.88799,-48.50993,2.55700
9.88599,-48.20914,2.57643
9.88399,-47.90788,2.59583
9.88199,-47.60561,2.61524
9.87999,-47.30273,2.63464
9.87799,-46.99931,2.65401
9.87599,-46.69471,2.67341
9.87399,-46.38948,2.69279
9.87199,-46.08369,2.71215
9.86999,-45.77732,2.73149
9.86799,-45.46990,2.75085
9.86599,-45.16201,2.77019
9.86399,-44.85350,2.78950
9.86199,-44.54427,2.80881
9.85999,-44.23413,2.82812
9.85799,-43.92347,2.84741
9.85599,-43.61200,2.86670
9.85399,-43.29991,2.88597
9.85198,-42.98706,2.90524
9.84999,-42.67335,2.92451
9.84798,-42.35907,2.94375
9.84598,-42.04425,2.96298
9.84398,-41.72878,2.98220
9.84198,-41.41240,3.00141
9.83998,-41.09550,3.02061
9.83798,-40.77782,3.03980
9.83598,-40.45934,3.05899
9.83398,-40.14001,3.07818
9.83198,-39.82043,3.09733
9.82998,-39.49995,3.11648
9.82798,-39.17875,3.13562
9.82598,-38.85684,3.15476
9.82398,-38.53450,3.17387
9.82198,-38.21149,3.19296
9.81998,-37.88752,3.21206
9.81798,-37.56275,3.23116
9.81598,-37.23750,3.25024
9.81398,-36.91158,3.26930
9.81198,-36.58495,3.28835
9.80998,-36.25779,3.30739
9.80798,-35.92963,3.32643
9.80598,-35.60114,3.34543
9.80398,-35.27203,3.36443
9.80198,-34.94196,3.38343
9.79998,-34.61142,3.40240
9.79798,-34.28001,3.42138
9.79598,-33.94813,3.44033
