ticks,x,y,a,vx,vy,va,tx,ty,ta,updates,thrusters
5,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
10,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
15,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
20,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
25,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
30,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
35,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
40,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
45,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
50,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
55,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
60,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
65,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
70,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
75,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
80,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
85,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
90,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
95,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
100,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,1.300,0,0
105,0.000,0.000,0.000,0.000,0.000,0.002,100.000,100.000,1.300,1,6
110,0.000,0.000,0.000,0.000,0.000,0.003,100.000,100.000,1.300,1,6
115,0.000,0.000,0.001,0.000,0.000,0.005,100.000,100.000,1.300,1,6
120,0.000,0.000,0.001,0.000,0.000,0.006,100.000,100.000,1.300,1,6
125,0.000,0.000,0.002,0.000,0.000,0.008,100.000,100.000,1.300,1,6
130,0.000,0.000,0.003,0.000,0.000,0.009,100.000,100.000,1.300,1,6
135,0.000,0.000,0.004,0.000,0.000,0.011,100.000,100.000,1.300,1,6
140,0.000,0.000,0.005,0.000,0.000,0.012,100.000,100.000,1.300,1,6
145,0.000,0.000,0.006,0.000,0.000,0.014,100.000,100.000,1.300,1,6
150,0.000,0.000,0.007,0.000,0.000,0.015,100.000,100.000,1.300,1,6
155,0.000,0.000,0.009,0.000,0.000,0.017,100.000,100.000,1.300,1,6
160,0.000,0.000,0.011,0.000,0.000,0.018,100.000,100.000,1.300,1,6
165,0.000,0.000,0.013,0.000,0.000,0.020,100.000,100.000,1.300,1,6
170,0.000,0.000,0.015,0.000,0.000,0.021,100.000,100.000,1.300,1,6
175,0.000,0.000,0.017,0.000,0.000,0.023,100.000,100.000,1.300,1,6
180,0.000,0.000,0.019,0.000,0.000,0.024,100.000,100.000,1.300,1,6
185,0.000,0.000,0.022,0.000,0.000,0.026,100.000,100.000,1.300,1,6
190,0.000,0.000,0.024,0.000,0.000,0.027,100.000,100.000,1.300,1,6
195,0.000,0.000,0.027,0.000,0.000,0.029,100.000,100.000,1.300,1,6
200,0.000,0.000,0.030,0.000,0.000,0.030,100.000,100.000,1.300,1,6
205,0.000,0.000,0.033,0.000,0.000,0.032,100.000,100.000,1.300,1,6
210,0.000,0.000,0.036,0.000,0.000,0.033,100.000,100.000,1.300,1,6
215,0.000,0.000,0.040,0.000,0.000,0.035,100.000,100.000,1.300,1,6
220,0.000,0.000,0.043,0.000,0.000,0.036,100.000,100.000,1.300,1,6
225,0.000,0.000,0.047,0.000,0.000,0.038,100.000,100.000,1.300,1,6
230,0.000,0.000,0.051,0.000,0.000,0.039,100.000,100.000,1.300,1,6
235,0.000,0.000,0.055,0.000,0.000,0.041,100.000,100.000,1.300,1,6
240,0.000,0.000,0.059,0.000,0.000,0.042,100.000,100.000,1.300,1,6
245,0.000,0.000,0.063,0.000,0.000,0.044,100.000,100.000,1.300,1,6
250,0.000,0.000,0.067,0.000,0.000,0.045,100.000,100.000,1.300,1,6
