x,sinx,approx,ex
-12.56637,-0.00000,3.62264,-0.00000
-12.55380,0.01257,3.62184,0.01280
-12.54123,0.02514,3.62104,0.02557
-12.52865,0.03771,3.62024,0.03832
-12.51608,0.05027,3.61943,0.05105
-12.50351,0.06282,3.61862,0.06375
-12.49094,0.07536,3.61781,0.07643
-12.47836,0.08789,3.61700,0.08907
-12.46579,0.10041,3.61618,0.10169
-12.45322,0.11291,3.61536,0.11428
-12.44064,0.12540,3.61454,0.12684
-12.42807,0.13786,3.61371,0.13936
-12.41550,0.15030,3.61289,0.15185
-12.40293,0.16272,3.61206,0.16430
-12.39035,0.17511,3.61123,0.17672
-12.37778,0.18747,3.61039,0.18910
-12.36521,0.19981,3.60955,0.20144
-12.35264,0.21211,3.60871,0.21374
-12.34006,0.22438,3.60787,0.22600
-12.32749,0.23661,3.60703,0.23821
-12.31492,0.24881,3.60618,0.25038
-12.30235,0.26097,3.60533,0.26250
-12.28977,0.27309,3.60448,0.27457
-12.27720,0.28516,3.60362,0.28660
-12.26463,0.29719,3.60276,0.29857
-12.25205,0.30917,3.60190,0.31049
-12.23948,0.32110,3.60104,0.32236
-12.22691,0.33298,3.60017,0.33418
-12.21434,0.34481,3.59930,0.34593
-12.20176,0.35658,3.59843,0.35763
-12.18919,0.36830,3.59755,0.36928
-12.17662,0.37996,3.59668,0.38086
-12.16405,0.39156,3.59579,0.39237
-12.15147,0.40310,3.59491,0.40383
-12.13890,0.41457,3.59403,0.41522
-12.12633,0.42598,3.59314,0.42654
-12.11376,0.43732,3.59224,0.43780
-12.10118,0.44859,3.59135,0.44898
-12.08861,0.45979,3.59045,0.46010
-12.07604,0.47092,3.58955,0.47114
-12.06347,0.48197,3.58865,0.48211
-12.05089,0.49295,3.58774,0.49301
-12.03832,0.50385,3.58683,0.50382
-12.02575,0.51467,3.58592,0.51456
-12.01317,0.52541,3.58501,0.52522
-12.00060,0.53607,3.58409,0.53580
-11.98803,0.54664,3.58317,0.54629
-11.97546,0.55712,3.58224,0.55670
-11.96288,0.56752,3.58132,0.56702
-11.95031,0.57782,3.58039,0.57726
-11.93774,0.58804,3.57946,0.58741
-11.92517,0.59816,3.57852,0.59747
-11.91259,0.60819,3.57758,0.60743
-11.90002,0.61812,3.57664,0.61730
-11.88745,0.62796,3.57569,0.62708
-11.87488,0.63769,3.57475,0.63676
-11.86230,0.64732,3.57379,0.64635
-11.84973,0.65686,3.57284,0.65583
-11.83716,0.66628,3.57188,0.66522
-11.82458,0.67561,3.57092,0.67450
-11.81201,0.68482,3.56996,0.68368
-11.79944,0.69393,3.56899,0.69275
-11.78687,0.70293,3.56802,0.70172
-11.77429,0.71181,3.56705,0.71057
-11.76172,0.72059,3.56607,0.71933
-11.74915,0.72925,3.56509,0.72796
-11.73658,0.73779,3.56411,0.73649
-11.72400,0.74622,3.56313,0.74491
-11.71143,0.75453,3.56214,0.75320
-11.69886,0.76272,3.56115,0.76139
-11.68629,0.77079,3.56015,0.76945
-11.67371,0.77874,3.55915,0.77740
-11.66114,0.78657,3.55815,0.78523
-11.64857,0.79427,3.55714,0.79293
-11.63599,0.80185,3.55613,0.80051
-11.62342,0.80929,3.55512,0.80797
-11.61085,0.81661,3.55411,0.81530
-11.59828,0.82381,3.55309,0.82251
-11.58570,0.83087,3.55207,0.82959
-11.57313,0.83780,3.55104,0.83654
