t,spline,actual,error
0.00000,0.00000,0.00000,0.00000
0.00090,0.00581,0.00582,0.00001
0.00181,0.01162,0.01163,0.00001
0.00271,0.01744,0.01745,0.00002
0.00362,0.02325,0.02327,0.00002
0.00452,0.02906,0.02908,0.00003
0.00543,0.03487,0.03490,0.00003
0.00633,0.04068,0.04072,0.00004
0.00723,0.04649,0.04653,0.00004
0.00814,0.05231,0.05235,0.00004
0.00904,0.05812,0.05817,0.00005
0.00995,0.06393,0.06398,0.00005
0.01085,0.06974,0.06980,0.00006
0.01176,0.07555,0.07561,0.00006
0.01266,0.08136,0.08143,0.00006
0.01356,0.08718,0.08724,0.00007
0.01447,0.09299,0.09306,0.00007
0.01537,0.09880,0.09887,0.00008
0.01628,0.10461,0.10469,0.00008
0.01718,0.11042,0.11050,0.00008
0.01809,0.11623,0.11632,0.00009
0.01899,0.12205,0.12213,0.00009
0.01989,0.12786,0.12795,0.00009
0.02080,0.13367,0.13376,0.00009
0.02170,0.13948,0.13958,0.00010
0.02261,0.14529,0.14539,0.00010
0.02351,0.15110,0.15121,0.00010
0.02442,0.15692,0.15702,0.00010
0.02532,0.16273,0.16283,0.00011
0.02622,0.16854,0.16865,0.00011
0.02713,0.17435,0.17446,0.00011
0.02803,0.18016,0.18028,0.00011
0.02894,0.18597,0.18609,0.00011
0.02984,0.19179,0.19190,0.00012
0.03075,0.19760,0.19772,0.00012
0.03165,0.20341,0.20353,0.00012
0.03256,0.20922,0.20934,0.00012
0.03346,0.21503,0.21516,0.00012
0.03436,0.22084,0.22097,0.00012
0.03527,0.22666,0.22678,0.00013
0.03617,0.23247,0.23259,0.00013
0.03708,0.23828,0.23841,0.00013
0.03798,0.24409,0.24422,0.00013
0.03889,0.24990,0.25003,0.00013
0.03979,0.25572,0.25584,0.00013
0.04069,0.26153,0.26166,0.00013
0.04160,0.26734,0.26747,0.00013
0.04250,0.27315,0.27328,0.00013
0.04341,0.27896,0.27909,0.00013
0.04431,0.28477,0.28490,0.00013
0.04522,0.29059,0.29072,0.00013
0.04612,0.29640,0.29653,0.00013
0.04702,0.30221,0.30234,0.00013
0.04793,0.30802,0.30815,0.00013
0.04883,0.31383,0.31396,0.00013
0.04974,0.31964,0.31977,0.00013
0.05064,0.32546,0.32558,0.00013
0.05155,0.33127,0.33139,0.00013
0.05245,0.33708,0.33721,0.00013
0.05335,0.34289,0.34302,0.00013
0.05426,0.34870,0.34883,0.00012
0.05516,0.35451,0.35464,0.00012
0.05607,0.36033,0.36045,0.00012
0.05697,0.36614,0.36626,0.00012
0.05788,0.37195,0.37207,0.00012
0.05878,0.37776,0.37788,0.00012
0.05968,0.38357,0.38369,0.00012
0.06059,0.38938,0.38950,0.00011
0.06149,0.39520,0.39531,0.00011
0.06240,0.40101,0.40112,0.00011
0.06330,0.40682,0.40693,0.00011
0.06421,0.41263,0.41274,0.00011
0.06511,0.41844,0.41855,0.00010
0.06601,0.42425,0.42436,0.00010
0.06692,0.43007,0.43017,0.00010
0.06782,0.43588,0.43598,0.00010
0.06873,0.44169,0.44178,0.00009
0.06963,0.44750,0.44759,0.00009
0.07054,0.45331,0.45340,0.00009
0.07144,0.45912,0.45921,0.00009
