chi_0,chi
-100.00000,NaN
-99.98000,NaN
-99.96000,NaN
-99.93999,NaN
-99.91999,NaN
-99.89999,NaN
-99.87999,NaN
-99.85999,NaN
-99.83998,NaN
-99.81998,NaN
-99.79998,NaN
-99.77998,NaN
-99.75998,NaN
-99.73997,NaN
-99.71997,NaN
-99.69997,NaN
-99.67997,NaN
-99.65997,NaN
-99.63996,NaN
-99.61996,NaN
-99.59996,NaN
-99.57996,NaN
-99.55996,NaN
-99.53996,NaN
-99.51995,NaN
-99.49995,NaN
-99.47995,NaN
-99.45995,NaN
-99.43994,NaN
-99.41994,NaN
-99.39994,NaN
-99.37994,NaN
-99.35994,NaN
-99.33994,NaN
-99.31993,NaN
-99.29993,NaN
-99.27993,NaN
-99.25993,NaN
-99.23992,NaN
-99.21992,NaN
-99.19992,NaN
-99.17992,NaN
-99.15992,NaN
-99.13992,NaN
-99.11991,NaN
-99.09991,NaN
-99.07991,NaN
-99.05991,NaN
-99.03990,NaN
-99.01991,NaN
-98.99990,NaN
-98.97990,NaN
-98.95989,NaN
-98.93990,NaN
-98.91989,NaN
-98.89989,NaN
-98.87989,NaN
-98.85989,NaN
-98.83988,NaN
-98.81989,NaN
-98.79988,NaN
-98.77988,NaN
-98.75987,NaN
-98.73988,NaN
-98.71987,NaN
-98.69987,NaN
-98.67987,NaN
-98.65987,NaN
-98.63986,NaN
-98.61987,NaN
-98.59986,NaN
-98.57986,NaN
-98.55985,NaN
-98.53986,NaN
-98.51985,NaN
-98.49985,NaN
-98.47985,NaN
-98.45985,NaN
-98.43984,NaN
-98.41985,NaN
-98.39984,NaN
-98.37984,NaN
-98.35983,NaN
-98.33984,NaN
-98.31983,NaN
-98.29983,NaN
-98.27983,NaN
-98.25983,NaN
-98.23982,NaN
-98.21982,NaN
-98.19982,NaN
-98.17982,NaN
-98.15981,NaN
-98.13982,NaN
-98.11981,NaN
-98.09981,NaN
-98.07981,NaN
-98.05981,NaN
-98.03980,NaN
-98.01980,NaN
-97.99980,NaN
-97.97980,NaN
-97.95979,NaN
-97.93980,NaN
-97.91979,NaN
-97.89979,NaN
-97.87979,NaN
-97.85979,NaN
-97.83978,NaN
-97.81978,NaN
-97.79978,NaN
-97.77978,NaN
-97.75977,NaN
-97.73978,NaN
-97.71977,NaN
-97.69977,NaN
-97.67977,NaN
-97.65977,NaN
-97.63976,NaN
-97.61976,NaN
-97.59976,NaN
-97.57976,NaN
-97.55975,NaN
-97.53976,NaN
-97.51975,NaN
-97.49975,NaN
-97.47975,NaN
-97.45975,NaN
-97.43974,NaN
-97.41974,NaN
-97.39974,NaN
-97.37974,NaN
-97.35973,NaN
-97.33974,NaN
-97.31973,NaN
-97.29973,NaN
-97.27972,NaN
-97.25973,NaN
-97.23972,NaN
-97.21972,NaN
-97.19972,NaN
-97.17972,NaN
-97.15971,NaN
-97.13972,NaN
-97.11971,NaN
-97.09971,NaN
-97.07971,NaN
-97.05971,NaN
-97.03970,NaN
-97.01970,NaN
-96.99970,NaN
-96.97970,NaN
-96.95969,NaN
-96.93970,NaN
-96.91969,NaN
-96.89969,NaN
-96.87968,NaN
-96.85969,NaN
-96.83968,NaN
-96.81968,NaN
-96.79968,NaN
-96.77968,NaN
-96.75967,NaN
-96.73968,NaN
-96.71967,NaN
-96.69967,NaN
-96.67966,NaN
-96.65967,NaN
-96.63966,NaN
-96.61966,NaN
-96.59966,NaN
-96.57966,NaN
-96.55965,NaN
-96.53966,NaN
-96.51965,NaN
-96.49965,NaN
-96.47964,NaN
-96.45965,NaN
-96.43964,NaN
-96.41964,NaN
-96.39964,NaN
-96.37964,NaN
-96.35963,NaN
-96.33963,NaN
-96.31963,NaN
-96.29963,NaN
-96.27962,NaN
-96.25963,NaN
-96.23962,NaN
-96.21962,NaN
-96.19962,NaN
-96.17962,NaN
-96.15961,NaN
-96.13961,NaN
-96.11961,NaN
-96.09961,NaN
-96.07961,NaN
-96.05961,NaN
-96.03960,NaN
-96.01960,NaN
-95.99960,NaN
-95.97960,NaN
-95.95959,NaN
-95.93959,NaN
-95.91959,NaN
-95.89959,NaN
-95.87959,NaN
-95.85959,NaN
-95.83958,NaN
-95.81958,NaN
-95.79958,NaN
-95.77958,NaN
-95.75957,NaN
-95.73957,NaN
-95.71957,NaN
-95.69957,NaN
-95.67957,NaN
-95.65957,NaN
-95.63956,NaN
-95.61956,NaN
-95.59956,NaN
-95.57956,NaN
-95.55956,NaN
-95.53955,NaN
-95.51955,NaN
-95.49955,NaN
-95.47955,NaN
-95.45955,NaN
-95.43954,NaN
-95.41954,NaN
-95.39954,NaN
-95.37954,NaN
-95.35954,NaN
-95.33953,NaN
-95.31953,NaN
-95.29953,NaN
-95.27953,NaN
-95.25953,NaN
-95.23952,NaN
-95.21952,NaN
-95.19952,NaN
-95.17952,NaN
-95.15952,NaN
-95.13951,NaN
-95.11951,NaN
-95.09951,NaN
-95.07951,NaN
-95.05951,NaN
-95.03951,NaN
-95.01950,NaN
-94.99950,NaN
-94.97950,NaN
-94.95950,NaN
-94.93949,NaN
-94.91949,NaN
-94.89949,NaN
-94.87949,NaN
-94.85949,NaN
-94.83949,NaN
-94.81948,NaN
-94.79948,NaN
-94.77948,NaN
-94.75948,NaN
-94.73947,NaN
-94.71947,NaN
-94.69947,NaN
-94.67947,NaN
-94.65947,NaN
-94.63947,NaN
-94.61946,NaN
-94.59946,NaN
-94.57946,NaN
-94.55946,NaN
-94.53945,NaN
-94.51945,NaN
-94.49945,NaN
-94.47945,NaN
-94.45944,NaN
-94.43945,NaN
-94.41944,NaN
-94.39944,NaN
-94.37944,NaN
-94.35944,NaN
-94.33943,NaN
-94.31944,NaN
-94.29943,NaN
-94.27943,NaN
-94.25943,NaN
-94.23943,NaN
-94.21942,NaN
-94.19942,NaN
-94.17942,NaN
-94.15942,NaN
-94.13941,NaN
-94.11942,NaN
-94.09941,NaN
-94.07941,NaN
-94.05940,NaN
-94.03941,NaN
-94.01940,NaN
-93.99940,NaN
-93.97940,NaN
-93.95940,NaN
-93.93939,NaN
-93.91940,NaN
-93.89939,NaN
-93.87939,NaN
-93.85938,NaN
-93.83939,NaN
-93.81938,NaN
-93.79938,NaN
-93.77938,NaN
-93.75938,NaN
-93.73937,NaN
-93.71938,NaN
-93.69937,NaN
-93.67937,NaN
-93.65936,NaN
-93.63937,NaN
-93.61936,NaN
-93.59936,NaN
-93.57936,NaN
-93.55936,NaN
-93.53935,NaN
-93.51935,NaN
-93.49935,NaN
-93.47935,NaN
-93.45934,NaN
-93.43935,NaN
-93.41934,NaN
-93.39934,NaN
-93.37934,NaN
-93.35934,NaN
-93.33933,NaN
-93.31933,NaN
-93.29933,NaN
-93.27933,NaN
-93.25932,NaN
-93.23933,NaN
-93.21932,NaN
-93.19932,NaN
-93.17932,NaN
-93.15932,NaN
-93.13931,NaN
-93.11931,NaN
-93.09931,NaN
-93.07931,NaN
-93.05930,NaN
-93.03931,NaN
-93.01930,NaN
-92.99930,NaN
-92.97929,NaN
-92.95930,NaN
-92.93929,NaN
-92.91930,NaN
-92.89929,NaN
-92.87929,NaN
-92.85928,NaN
-92.83929,NaN
-92.81928,NaN
-92.79928,NaN
-92.77928,NaN
-92.75928,NaN
-92.73927,NaN
-92.71927,NaN
-92.69927,NaN
-92.67927,NaN
-92.65926,NaN
-92.63927,NaN
-92.61926,NaN
-92.59926,NaN
-92.57926,NaN
-92.55926,NaN
-92.53925,NaN
-92.51925,NaN
-92.49925,NaN
-92.47925,NaN
-92.45924,NaN
-92.43925,NaN
-92.41924,NaN
-92.39924,NaN
-92.37923,NaN
-92.35924,NaN
-92.33923,NaN
-92.31923,NaN
-92.29923,NaN
-92.27923,NaN
-92.25922,NaN
-92.23923,NaN
-92.21922,NaN
-92.19922,NaN
-92.17921,NaN
-92.15922,NaN
-92.13921,NaN
-92.11921,NaN
-92.09921,NaN
-92.07921,NaN
-92.05920,NaN
-92.03920,NaN
-92.01920,NaN
-91.99920,NaN
-91.97920,NaN
-91.95920,NaN
-91.93919,NaN
-91.91919,NaN
-91.89919,NaN
-91.87919,NaN
-91.85918,NaN
-91.83919,NaN
-91.81918,NaN
-91.79918,NaN
-91.77917,NaN
-91.75918,NaN
-91.73917,NaN
-91.71917,NaN
-91.69917,NaN
-91.67917,NaN
-91.65916,NaN
-91.63916,NaN
-91.61916,NaN
-91.59916,NaN
-91.57915,NaN
-91.55916,NaN
-91.53915,NaN
-91.51915,NaN
-91.49915,NaN
-91.47915,NaN
-91.45914,NaN
-91.43914,NaN
-91.41914,NaN
-91.39914,NaN
-91.37914,NaN
-91.35914,NaN
-91.33913,NaN
-91.31913,NaN
-91.29913,NaN
-91.27913,NaN
-91.25912,NaN
-91.23912,NaN
-91.21912,NaN
-91.19912,NaN
-91.17912,NaN
-91.15912,NaN
-91.13911,NaN
-91.11911,NaN
-91.09911,NaN
-91.07911,NaN
-91.05910,NaN
-91.03911,NaN
-91.01910,NaN
-90.99910,NaN
-90.97910,NaN
-90.95910,NaN
-90.93909,NaN
-90.91909,NaN
-90.89909,NaN
-90.87909,NaN
-90.85909,NaN
-90.83908,NaN
-90.81908,NaN
-90.79908,NaN
-90.77908,NaN
-90.75908,NaN
-90.73907,NaN
-90.71907,NaN
-90.69907,NaN
-90.67907,NaN
-90.65907,NaN
-90.63906,NaN
-90.61906,NaN
-90.59906,NaN
-90.57906,NaN
-90.55905,NaN
-90.53905,NaN
-90.51905,NaN
-90.49905,NaN
-90.47905,NaN
-90.45905,NaN
-90.43904,NaN
-90.41904,NaN
-90.39904,NaN
-90.37904,NaN
-90.35904,NaN
-90.33904,NaN
-90.31903,NaN
-90.29903,NaN
-90.27903,NaN
-90.25903,NaN
-90.23902,NaN
-90.21902,NaN
-90.19902,NaN
-90.17902,NaN
-90.15901,NaN
-90.13902,NaN
-90.11901,NaN
-90.09901,NaN
-90.07901,NaN
-90.05901,NaN
-90.03900,NaN
-90.01900,NaN
-89.99900,NaN
-89.97900,NaN
-89.95900,NaN
-89.93900,NaN
-89.91899,NaN
-89.89899,NaN
-89.87899,NaN
-89.85899,NaN
-89.83898,NaN
-89.81898,NaN
-89.79898,NaN
-89.77898,NaN
-89.75897,NaN
-89.73898,NaN
-89.71897,NaN
-89.69897,NaN
-89.67897,NaN
-89.65897,NaN
-89.63896,NaN
-89.61897,NaN
-89.59896,NaN
-89.57896,NaN
-89.55896,NaN
-89.53896,NaN
-89.51895,NaN
-89.49895,NaN
-89.47895,NaN
-89.45895,NaN
-89.43894,NaN
-89.41895,NaN
-89.39894,NaN
-89.37894,NaN
-89.35893,NaN
-89.33894,NaN
-89.31893,NaN
-89.29893,NaN
-89.27893,NaN
-89.25893,NaN
-89.23892,NaN
-89.21892,NaN
-89.19892,NaN
-89.17892,NaN
-89.15891,NaN
-89.13892,NaN
-89.11891,NaN
-89.09891,NaN
-89.07891,NaN
-89.05891,NaN
-89.03890,NaN
-89.01891,NaN
-88.99890,NaN
-88.97890,NaN
-88.95889,NaN
-88.93890,NaN
-88.91889,NaN
-88.89889,NaN
-88.87889,NaN
-88.85889,NaN
-88.83888,NaN
-88.81888,NaN
-88.79888,NaN
-88.77888,NaN
-88.75887,NaN
-88.73888,NaN
-88.71887,NaN
-88.69887,NaN
-88.67887,NaN
-88.65887,NaN
-88.63886,NaN
-88.61887,NaN
-88.59886,NaN
-88.57886,NaN
-88.55885,NaN
-88.53886,NaN
-88.51885,NaN
-88.49885,NaN
-88.47885,NaN
-88.45885,NaN
-88.43884,NaN
-88.41884,NaN
-88.39884,NaN
-88.37884,NaN
-88.35883,NaN
-88.33884,NaN
-88.31883,NaN
-88.29883,NaN
-88.27882,NaN
-88.25883,NaN
-88.23882,NaN
-88.21882,NaN
-88.19882,NaN
-88.17882,NaN
-88.15881,NaN
-88.13882,NaN
-88.11881,NaN
-88.09881,NaN
-88.07881,NaN
-88.05881,NaN
-88.03880,NaN
-88.01880,NaN
-87.99880,NaN
-87.97880,NaN
-87.95879,NaN
-87.93880,NaN
-87.91879,NaN
-87.89879,NaN
-87.87878,NaN
-87.85879,NaN
-87.83878,NaN
-87.81878,NaN
-87.79878,NaN
-87.77878,NaN
-87.75877,NaN
-87.73878,NaN
-87.71877,NaN
-87.69877,NaN
-87.67877,NaN
-87.65877,NaN
-87.63876,NaN
-87.61876,NaN
-87.59876,NaN
-87.57876,NaN
-87.55875,NaN
-87.53876,NaN
-87.51875,NaN
-87.49875,NaN
-87.47874,NaN
-87.45875,NaN
-87.43874,NaN
-87.41874,NaN
-87.39874,NaN
-87.37874,NaN
-87.35873,NaN
-87.33873,NaN
-87.31873,NaN
-87.29873,NaN
-87.27873,NaN
-87.25873,NaN
-87.23872,NaN
-87.21872,NaN
-87.19872,NaN
-87.17872,NaN
-87.15871,NaN
-87.13872,NaN
-87.11871,NaN
-87.09871,NaN
-87.07870,NaN
-87.05871,NaN
-87.03870,NaN
-87.01870,NaN
-86.99870,NaN
-86.97870,NaN
-86.95869,NaN
-86.93869,NaN
-86.91869,NaN
-86.89869,NaN
-86.87868,NaN
-86.85869,NaN
-86.83868,NaN
-86.81868,NaN
-86.79868,NaN
-86.77868,NaN
-86.75867,NaN
-86.73868,NaN
-86.71867,NaN
-86.69867,NaN
-86.67867,NaN
-86.65867,NaN
-86.63866,NaN
-86.61866,NaN
-86.59866,NaN
-86.57866,NaN
-86.55865,NaN
-86.53865,NaN
-86.51865,NaN
-86.49865,NaN
-86.47865,NaN
-86.45865,NaN
-86.43864,NaN
-86.41864,NaN
-86.39864,NaN
-86.37864,NaN
-86.35863,NaN
-86.33863,NaN
-86.31863,NaN
-86.29863,NaN
-86.27863,NaN
-86.25863,NaN
-86.23862,NaN
-86.21862,NaN
-86.19862,NaN
-86.17862,NaN
-86.15862,NaN
-86.13861,NaN
-86.11861,NaN
-86.09861,NaN
-86.07861,NaN
-86.05861,NaN
-86.03860,NaN
-86.01860,NaN
-85.99860,NaN
-85.97860,NaN
-85.95860,NaN
-85.93859,NaN
-85.91859,NaN
-85.89859,NaN
-85.87859,NaN
-85.85859,NaN
