i, r, v, t, mu, chi
0, 10.00000, 30.00000, 0.00000, 48000.00000, 0.00000
1, 10.00000, 30.00000, 0.00074, 48000.00000, 0.01632
2, 10.00000, 30.00000, 0.00149, 48000.00000, 0.03263
3, 10.00000, 30.00000, 0.00223, 48000.00000, 0.04894
4, 10.00000, 30.00000, 0.00298, 48000.00000, 0.06525
5, 10.00000, 30.00000, 0.00372, 48000.00000, 0.08155
6, 10.00000, 30.00000, 0.00447, 48000.00000, 0.09785
7, 10.00000, 30.00000, 0.00521, 48000.00000, 0.11416
8, 10.00000, 30.00000, 0.00596, 48000.00000, 0.13046
9, 10.00000, 30.00000, 0.00670, 48000.00000, 0.14676
10, 10.00000, 30.00000, 0.00745, 48000.00000, 0.16306
11, 10.00000, 30.00000, 0.00819, 48000.00000, 0.17935
12, 10.00000, 30.00000, 0.00894, 48000.00000, 0.19565
13, 10.00000, 30.00000, 0.00968, 48000.00000, 0.21195
14, 10.00000, 30.00000, 0.01043, 48000.00000, 0.22825
15, 10.00000, 30.00000, 0.01117, 48000.00000, 0.24456
16, 10.00000, 30.00000, 0.01192, 48000.00000, 0.26086
17, 10.00000, 30.00000, 0.01266, 48000.00000, 0.27717
18, 10.00000, 30.00000, 0.01341, 48000.00000, 0.29347
19, 10.00000, 30.00000, 0.01415, 48000.00000, 0.30979
20, 10.00000, 30.00000, 0.01490, 48000.00000, 0.32610
21, 10.00000, 30.00000, 0.01564, 48000.00000, 0.34242
22, 10.00000, 30.00000, 0.01639, 48000.00000, 0.35874
23, 10.00000, 30.00000, 0.01713, 48000.00000, 0.37506
24, 10.00000, 30.00000, 0.01788, 48000.00000, 0.39139
25, 10.00000, 30.00000, 0.01862, 48000.00000, 0.40773
26, 10.00000, 30.00000, 0.01936, 48000.00000, 0.42407
27, 10.00000, 30.00000, 0.02011, 48000.00000, 0.44041
28, 10.00000, 30.00000, 0.02085, 48000.00000, 0.45677
29, 10.00000, 30.00000, 0.02160, 48000.00000, 0.47312
30, 10.00000, 30.00000, 0.02234, 48000.00000, 0.48949
31, 10.00000, 30.00000, 0.02309, 48000.00000, 0.50586
32, 10.00000, 30.00000, 0.02383, 48000.00000, 0.52224
33, 10.00000, 30.00000, 0.02458, 48000.00000, 0.53862
34, 10.00000, 30.00000, 0.02532, 48000.00000, 0.55502
35, 10.00000, 30.00000, 0.02607, 48000.00000, 0.57142
36, 10.00000, 30.00000, 0.02681, 48000.00000, 0.58783
37, 10.00000, 30.00000, 0.02756, 48000.00000, 0.60426
38, 10.00000, 30.00000, 0.02830, 48000.00000, 0.62069
39, 10.00000, 30.00000, 0.02905, 48000.00000, 0.63713
40, 10.00000, 30.00000, 0.02979, 48000.00000, 0.65358
41, 10.00000, 30.00000, 0.03054, 48000.00000, 0.67004
42, 10.00000, 30.00000, 0.03128, 48000.00000, 0.68651
43, 10.00000, 30.00000, 0.03203, 48000.00000, 0.70300
44, 10.00000, 30.00000, 0.03277, 48000.00000, 0.71949
45, 10.00000, 30.00000, 0.03352, 48000.00000, 0.73600
46, 10.00000, 30.00000, 0.03426, 48000.00000, 0.75252
47, 10.00000, 30.00000, 0.03501, 48000.00000, 0.76906
48, 10.00000, 30.00000, 0.03575, 48000.00000, 0.78561
49, 10.00000, 30.00000, 0.03650, 48000.00000, 0.80217
50, 10.00000, 30.00000, 0.03724, 48000.00000, 0.81874
51, 10.00000, 30.00000, 0.03798, 48000.00000, 0.83533
52, 10.00000, 30.00000, 0.03873, 48000.00000, 0.85194
53, 10.00000, 30.00000, 0.03947, 48000.00000, 0.86856
54, 10.00000, 30.00000, 0.04022, 48000.00000, 0.88520
55, 10.00000, 30.00000, 0.04096, 48000.00000, 0.90185
56, 10.00000, 30.00000, 0.04171, 48000.00000, 0.91852
57, 10.00000, 30.00000, 0.04245, 48000.00000, 0.93521
58, 10.00000, 30.00000, 0.04320, 48000.00000, 0.95191
59, 10.00000, 30.00000, 0.04394, 48000.00000, 0.96863
60, 10.00000, 30.00000, 0.04469, 48000.00000, 0.98537
61, 10.00000, 30.00000, 0.04543, 48000.00000, 1.00213
62, 10.00000, 30.00000, 0.04618, 48000.00000, 1.01891
63, 10.00000, 30.00000, 0.04692, 48000.00000, 1.03571
64, 10.00000, 30.00000, 0.04767, 48000.00000, 1.05253
65, 10.00000, 30.00000, 0.04841, 48000.00000, 1.06937
66, 10.00000, 30.00000, 0.04916, 48000.00000, 1.08622
67, 10.00000, 30.00000, 0.04990, 48000.00000, 1.10311
